Log file started Fri Jan 07 18:48:56 2011
Fri Jan 07 18:48:56 2011: WSAStartup OK
Fri Jan 07 18:48:56 2011: Server's information: IP address: 192.168.1.2, port: 30004
Fri Jan 07 18:48:56 2011: No net interface given, using any interface available
Fri Jan 07 18:48:56 2011: No port defined, picking one for you
Fri Jan 07 18:48:56 2011: Opening UDP port = 4152
Fri Jan 07 18:50:15 2011: Client 1: Read key 6
Fri Jan 07 18:50:15 2011: Client 1: Read key 2
Fri Jan 07 18:50:15 2011: Client 1: Read key 10
Fri Jan 07 18:50:15 2011: Client 1: Read key 8
Fri Jan 07 18:50:16 2011: Client 1: Read key 0
Fri Jan 07 18:50:17 2011: Client 2: Read key 1
Fri Jan 07 18:50:17 2011: Client 2: Read key 0
Fri Jan 07 18:50:17 2011: Client 2: Read key 1
Fri Jan 07 18:50:18 2011: Client 2: Read key 9
Fri Jan 07 18:50:18 2011: Client 2: Read key 1
Fri Jan 07 18:50:18 2011: Client 2: Read key 0
Fri Jan 07 18:50:19 2011: Client 2: Read key 8
Fri Jan 07 18:50:19 2011: Client 2: Read key 2
Fri Jan 07 18:50:20 2011: Client 2: Read key 10
Fri Jan 07 18:50:20 2011: Client 2: Read key 2
Fri Jan 07 18:50:20 2011: Client 2: Read key 6
Fri Jan 07 18:50:21 2011: Client 2: Read key 4
Fri Jan 07 18:50:21 2011: Client 2: Read key 5
Fri Jan 07 18:50:22 2011: Client 2: Read key 4
Fri Jan 07 18:50:23 2011: Client 2: Read key 5
Fri Jan 07 18:50:23 2011: Client 2: Read key 13
Fri Jan 07 18:50:23 2011: Client 2: Read key 9
Fri Jan 07 18:50:24 2011: Client 2: Read key 8
Fri Jan 07 18:50:24 2011: Client 2: Read key 2
Fri Jan 07 18:50:25 2011: Client 2: Read key 10
Fri Jan 07 18:50:25 2011: Client 2: Read key 8
Fri Jan 07 18:50:25 2011: Client 2: Read key 9
Fri Jan 07 18:50:26 2011: Client 2: Read key 1
Fri Jan 07 18:50:26 2011: Client 2: Read key 9
Fri Jan 07 18:50:26 2011: Client 2: Read key 8
Fri Jan 07 18:50:27 2011: Client 2: Read key 9
Fri Jan 07 18:50:27 2011: Client 2: Read key 1
Fri Jan 07 18:50:28 2011: Client 2: Read key 9
Fri Jan 07 18:50:28 2011: Client 2: Read key 0
Fri Jan 07 18:50:28 2011: Client 2: Read key 4
Fri Jan 07 18:50:28 2011: Client 2: Read key 6
Fri Jan 07 18:50:28 2011: Client 2: Read key 2
Fri Jan 07 18:50:29 2011: Client 2: Read key 6
Fri Jan 07 18:50:29 2011: Client 2: Read key 4
Fri Jan 07 18:50:29 2011: Client 2: Read key 5
Fri Jan 07 18:50:31 2011: Client 2: Read key 2
Fri Jan 07 18:50:31 2011: Client 2: Read key 6
Fri Jan 07 18:50:31 2011: Client 2: Read key 4
Fri Jan 07 18:50:31 2011: Client 2: Read key 6
Fri Jan 07 18:50:31 2011: Client 2: Read key 4
Fri Jan 07 18:50:32 2011: Client 2: Read key 0
Fri Jan 07 18:50:33 2011: Client 2: Read key 1
Fri Jan 07 18:50:33 2011: Client 2: Read key 0
Fri Jan 07 18:50:33 2011: Client 2: Read key 2
Fri Jan 07 18:50:33 2011: Client 2: Read key 4
Fri Jan 07 18:50:34 2011: Client 2: Read key 1
Fri Jan 07 18:50:34 2011: Client 2: Read key 0
Fri Jan 07 18:50:34 2011: Client 2: Read key 8
Fri Jan 07 18:50:34 2011: Client 2: Read key 0
Fri Jan 07 18:50:35 2011: Client 2: Read key 2
Fri Jan 07 18:50:35 2011: Client 2: Read key 0
Fri Jan 07 18:50:35 2011: Client 2: Read key 1
Fri Jan 07 18:50:35 2011: Client 2: Read key 4
Fri Jan 07 18:50:36 2011: Client 2: Read key 8
Fri Jan 07 18:50:36 2011: Client 2: Read key 9
Fri Jan 07 18:50:36 2011: Client 2: Read key 1
Fri Jan 07 18:50:37 2011: Client 2: Read key 0
Fri Jan 07 18:50:37 2011: Client 2: Read key 2
Fri Jan 07 18:50:37 2011: Client 2: Read key 8
Fri Jan 07 18:50:37 2011: Client 2: Read key 2
Fri Jan 07 18:50:38 2011: Client 2: Read key 10
Fri Jan 07 18:50:38 2011: Client 2: Read key 8
Fri Jan 07 18:50:38 2011: Client 2: Read key 9
Fri Jan 07 18:50:39 2011: Client 2: Read key 8
Fri Jan 07 18:50:39 2011: Client 2: Read key 12
Fri Jan 07 18:50:39 2011: Client 2: Read key 4
Fri Jan 07 18:50:39 2011: Client 2: Read key 6
Fri Jan 07 18:50:39 2011: Client 2: Read key 4
Fri Jan 07 18:50:40 2011: Client 2: Read key 1
Fri Jan 07 18:50:40 2011: Client 2: Read key 9
Fri Jan 07 18:50:40 2011: Client 2: Read key 8
Fri Jan 07 18:50:40 2011: Client 2: Read key 9
Fri Jan 07 18:50:40 2011: Client 2: Read key 1
Fri Jan 07 18:50:41 2011: Client 2: Read key 5
Fri Jan 07 18:50:41 2011: Client 2: Read key 13
Fri Jan 07 18:50:41 2011: Client 2: Read key 4
Fri Jan 07 18:50:41 2011: Client 2: Read key 6
Fri Jan 07 18:50:41 2011: Client 2: Read key 2
Fri Jan 07 18:50:41 2011: Client 2: Read key 0
Fri Jan 07 18:50:44 2011: Client 2: Read key 2
Fri Jan 07 18:50:45 2011: Client 2: Read key 0
Fri Jan 07 18:50:46 2011: Client 1: Read key 1
Fri Jan 07 18:50:46 2011: Client 1: Read key 0
Fri Jan 07 18:50:47 2011: Client 1: Read key 2
Fri Jan 07 18:50:47 2011: Client 1: Read key 10
Fri Jan 07 18:50:47 2011: Client 1: Read key 8
Fri Jan 07 18:50:47 2011: Client 1: Read key 0
Fri Jan 07 18:50:50 2011: Client 1: Read key 8
Fri Jan 07 18:50:50 2011: Client 1: Read key 0
Fri Jan 07 18:50:51 2011: Client 2: Read key 1
Fri Jan 07 18:50:52 2011: Client 2: Read key 4
Fri Jan 07 18:50:52 2011: Client 2: Read key 6
Fri Jan 07 18:50:52 2011: Client 2: Read key 10
Fri Jan 07 18:50:52 2011: Client 1: Read key 2
Fri Jan 07 18:50:53 2011: Client 1: Read key 6
Fri Jan 07 18:50:53 2011: Client 2: Read key 8
Fri Jan 07 18:50:53 2011: Client 1: Read key 4
Fri Jan 07 18:50:53 2011: Client 1: Read key 5
Fri Jan 07 18:50:53 2011: Client 2: Read key 9
Fri Jan 07 18:50:53 2011: Client 1: Read key 1
Fri Jan 07 18:50:53 2011: Client 2: Read key 1
Fri Jan 07 18:50:53 2011: Client 2: Read key 9
Fri Jan 07 18:50:53 2011: Client 2: Read key 12
Fri Jan 07 18:50:54 2011: Client 1: Read key 5
Fri Jan 07 18:50:54 2011: Client 1: Read key 4
Fri Jan 07 18:50:54 2011: Client 2: Read key 6
Fri Jan 07 18:50:54 2011: Client 1: Read key 6
Fri Jan 07 18:50:54 2011: Client 2: Read key 14
Fri Jan 07 18:50:54 2011: Client 2: Read key 10
Fri Jan 07 18:50:54 2011: Client 1: Read key 2
Fri Jan 07 18:50:54 2011: Client 2: Read key 8
Fri Jan 07 18:50:55 2011: Client 1: Read key 10
Fri Jan 07 18:50:55 2011: Client 2: Read key 9
Fri Jan 07 18:50:55 2011: Client 1: Read key 8
Fri Jan 07 18:50:55 2011: Client 2: Read key 1
Fri Jan 07 18:50:55 2011: Client 2: Read key 9
Fri Jan 07 18:50:55 2011: Client 1: Read key 9
Fri Jan 07 18:50:55 2011: Client 1: Read key 1
Fri Jan 07 18:50:56 2011: Client 2: Read key 1
Fri Jan 07 18:50:56 2011: Client 1: Read key 5
Fri Jan 07 18:50:56 2011: Client 1: Read key 4
Fri Jan 07 18:50:56 2011: Client 2: Read key 9
Fri Jan 07 18:50:56 2011: Client 2: Read key 8
Fri Jan 07 18:50:57 2011: Client 2: Read key 2
Fri Jan 07 18:50:57 2011: Client 2: Read key 6
Fri Jan 07 18:50:57 2011: Client 1: Read key 2
Fri Jan 07 18:50:57 2011: Client 2: Read key 4
Fri Jan 07 18:50:57 2011: Client 1: Read key 10
Fri Jan 07 18:50:57 2011: Client 1: Read key 8
Fri Jan 07 18:50:57 2011: Client 2: Read key 5
Fri Jan 07 18:50:58 2011: Client 2: Read key 1
Fri Jan 07 18:50:58 2011: Client 1: Read key 9
Fri Jan 07 18:50:59 2011: Client 1: Read key 13
Fri Jan 07 18:50:59 2011: Client 1: Read key 4
Fri Jan 07 18:50:59 2011: Client 2: Read key 8
Fri Jan 07 18:50:59 2011: Client 1: Read key 6
Fri Jan 07 18:51:00 2011: Client 1: Read key 2
Fri Jan 07 18:51:00 2011: Client 2: Read key 10
Fri Jan 07 18:51:00 2011: Client 2: Read key 6
Fri Jan 07 18:51:00 2011: Client 2: Read key 2
Fri Jan 07 18:51:00 2011: Client 2: Read key 6
Fri Jan 07 18:51:01 2011: Client 1: Read key 6
Fri Jan 07 18:51:01 2011: Client 2: Read key 10
Fri Jan 07 18:51:01 2011: Client 2: Read key 8
Fri Jan 07 18:51:01 2011: Client 1: Read key 4
Fri Jan 07 18:51:01 2011: Client 1: Read key 5
Fri Jan 07 18:51:01 2011: Client 2: Read key 9
Fri Jan 07 18:51:01 2011: Client 2: Read key 1
Fri Jan 07 18:51:01 2011: Client 1: Read key 1
Fri Jan 07 18:51:02 2011: Client 2: Read key 5
Fri Jan 07 18:51:02 2011: Client 1: Read key 5
Fri Jan 07 18:51:02 2011: Client 2: Read key 4
Fri Jan 07 18:51:02 2011: Client 1: Read key 4
Fri Jan 07 18:51:02 2011: Client 2: Read key 6
Fri Jan 07 18:51:03 2011: Client 1: Read key 6
Fri Jan 07 18:51:03 2011: Client 2: Read key 2
Fri Jan 07 18:51:03 2011: Client 1: Read key 2
Fri Jan 07 18:51:03 2011: Client 2: Read key 10
Fri Jan 07 18:51:03 2011: Client 1: Read key 10
Fri Jan 07 18:51:03 2011: Client 2: Read key 8
Fri Jan 07 18:51:03 2011: Client 1: Read key 8
Fri Jan 07 18:51:04 2011: Client 1: Read key 9
Fri Jan 07 18:51:04 2011: Client 2: Read key 9
Fri Jan 07 18:51:04 2011: Client 2: Read key 1
Fri Jan 07 18:51:04 2011: Client 1: Read key 1
Fri Jan 07 18:51:04 2011: Client 1: Read key 4
Fri Jan 07 18:51:04 2011: Client 2: Read key 12
Fri Jan 07 18:51:04 2011: Client 1: Read key 6
Fri Jan 07 18:51:04 2011: Client 2: Read key 4
Fri Jan 07 18:51:04 2011: Client 1: Read key 10
Fri Jan 07 18:51:04 2011: Client 2: Read key 14
Fri Jan 07 18:51:04 2011: Client 1: Read key 14
Fri Jan 07 18:51:04 2011: Client 2: Read key 10
Fri Jan 07 18:51:05 2011: Client 1: Read key 8
Fri Jan 07 18:51:05 2011: Client 2: Read key 0
Fri Jan 07 18:51:05 2011: Client 1: Read key 0
